,Basal18,Basal73,Basal98,Basal103,Basal109,LumA18,LumA73,LumA98,LumA103,LumA109
ENSG00000105676,2487,5487,2497,2313,711,2243,2581,3145,1713,1207
ENSG00000105677,5752,5550,5112,4037,1625,4100,3848,3509,3085,2301
ENSG00000105696,49,13,10,10,19,82,97,149,41,20
ENSG00000105697,54,43,66,129,30,31,135,24,39,18
ENSG00000105698,12357,6903,10576,9097,1286,9168,9820,12199,5256,5165
ENSG00000105699,22229,7477,12194,7446,3570,5200,5608,9106,7184,4301
ENSG00000105700,1658,3122,1744,2534,584,1621,2432,2115,900,939
ENSG00000105701,12497,20598,16879,9042,2892,12107,12280,20247,10999,9823
ENSG00000105705,2279,2558,1906,1694,576,2235,1780,3392,1278,1426
ENSG00000105707,1513,10,905,256,294,4465,3098,8156,2278,3748
ENSG00000105708,285,617,347,1474,377,1516,1270,1431,397,864
ENSG00000105711,293,128,215,989,80,406,491,710,375,321
ENSG00000105717,104,40,137,152,54,28,22,52,68,20
ENSG00000105722,6043,2956,4301,2088,677,2999,2284,3501,1677,1676
ENSG00000105723,3256,4026,3377,3322,801,3248,2781,3562,2244,2014
ENSG00000105726,4947,7438,4969,5068,2347,7872,8161,6349,4849,3436
ENSG00000105732,1492,3039,1855,2338,424,2179,1353,2578,1391,1159
ENSG00000105737,35,29,6,25,35,236,47,55,38,106
ENSG00000105738,6245,2693,2566,4212,1244,8272,5483,11594,4991,7177
ENSG00000105750,371,357,163,930,312,709,956,814,311,479
ENSG00000105755,1002,999,495,1106,214,816,1758,1436,639,879
ENSG00000105767,4246,1704,2065,543,963,4807,1939,6556,2282,3512
ENSG00000105771,2455,2297,2942,3885,741,2781,4100,3009,1030,1803
ENSG00000105778,2460,3593,2168,4456,2134,6987,9241,9070,2845,3821
ENSG00000105784,23,100,14,169,63,280,212,23,51,86
ENSG00000105792,95,141,100,325,187,2189,1142,671,305,1136
ENSG00000105793,934,2756,919,1600,1062,3140,2628,1036,762,1394
ENSG00000105808,32,9,32,56,44,47,96,42,53,29
ENSG00000105810,480,16374,5526,6612,4715,3987,3621,137,349,479
ENSG00000105819,3861,4009,4005,4311,2830,5203,7601,3753,2827,3727
ENSG00000105821,2446,4497,4349,3894,2255,2640,2779,897,1361,1127
ENSG00000105825,31,5,920,569,783,72,140,1,441,46
ENSG00000105829,1067,2108,1506,2462,1153,2550,2317,759,738,1259
ENSG00000105835,3268,14716,7432,13802,3802,8627,44107,2648,4809,8391
ENSG00000105849,1078,2973,1075,2491,854,2011,2760,2871,707,1000
ENSG00000105851,370,221,214,6284,612,519,3587,244,86,443
ENSG00000105852,54,177,56,191,90,46,35,44,1075,85
ENSG00000105854,1144,3161,2533,3626,2000,6511,5312,4254,3601,4967
ENSG00000105855,2152,2031,997,2729,1178,1517,887,9429,1420,2172
ENSG00000105856,2211,2919,1442,6632,1583,7226,8262,4346,2556,4475
ENSG00000105865,231,415,368,240,250,444,329,137,208,197
ENSG00000105866,892,649,357,1886,432,819,972,1339,189,402
ENSG00000105875,951,1585,1957,1784,807,1326,4562,737,440,666
ENSG00000105877,3482,607,324,35,43,98,20,20,3,13
ENSG00000105879,1480,3922,2647,4823,1901,4326,10211,2169,1328,2654
ENSG00000105880,83,97,197,64,16,28,61,15,22,22
ENSG00000105887,9673,22292,13157,28452,8835,15504,22375,7447,7000,10001
ENSG00000105889,22,1085,4,105,94,50,72,1,13,9
ENSG00000105894,724,129,57,360,1826,4374,1298,52,626,2715
ENSG00000105926,775,1680,1167,1368,869,272,572,26,64,85
ENSG00000105928,2017,458,465,1175,521,428,1025,183,174,271
ENSG00000105929,398,354,163,287,359,110,58,367,278,409
ENSG00000105939,2497,2485,2569,8905,2326,6642,5872,5147,4733,2719
ENSG00000105948,527,911,1058,1703,788,2380,1361,749,523,850
ENSG00000105953,7879,6010,5452,12609,2153,8816,18803,19717,4916,5858
ENSG00000105963,124,69,135,212,26,201,141,574,118,132
ENSG00000105967,296,223,98,9943,636,331,6467,197,73,243
ENSG00000105968,8072,10939,11323,14042,3438,15060,16244,29708,5201,11063
ENSG00000105971,1307,1686,3159,3694,1164,1607,1974,203,542,894
ENSG00000105974,3166,2964,5850,11666,1943,5727,5005,719,1412,2249
ENSG00000105976,1627,299,2860,9449,2430,2871,3299,82,925,1554
ENSG00000105982,90,124,58,125,75,185,86,58,39,62
ENSG00000105983,2214,3197,4144,4444,3566,5740,5625,3055,2049,2918
ENSG00000105989,538,2167,83,2099,311,393,1586,31,209,220
ENSG00000105991,34,78,154,178,26,47,77,3,47,22
ENSG00000105993,15047,16708,18527,8839,3593,9439,10670,4087,7091,4195
ENSG00000105997,40,310,356,235,22,137,124,2,26,24
ENSG00000106003,487,569,1037,2619,399,619,3528,2259,1851,2577
